Date,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
27Mar1999,431.33,521.4,573.75,437.92,594.97,545.81,480.69,436.16,460.44,441.69,538.48,504.43,504.72,485.26,483.46,459.59,459.01,443.53,439.6,439.6,429.3,429.3,531.42,439.08,443.31,602.73,595.03,592.07,587.51,582.85,575.51,571.9,562.74,561.16,549.79,545.01,539.73,535.99,533.94,527.94,522.68,518.18,483.63,478.79,475.07,470.18,465.03,459.37,454.05,484.7,539.04,440.62,470.29,469.3499998,513.10,438.29,570.66,458.75,473.86,525.89
28Mar1999,431.14,521.43,573.72,437.55,594.88,545.81,480.56,435.95,460.29,441.43,538.86,504.58,504.74,485.12,483.51,459.41,458.93,443.08,439.2,439.2,429.1,429.1,531.56,438.61,442.9,602.72,595.06,592,587.51,582.79,575.52,571.8,562.73,561.1,549.8,545.02,539.67,535.87,533.87,527.84,522.68,518.18,483.55,478.59,475,470.06,464.91,459.2,454.02,484.58,538.96,440.14,470.12,469.3000001,513.06,438.21,570.61,458.67,473.81,525.85
29Mar1999,430.87,521.36,573.72,437.27,594.93,545.86,480.45,435.58,460.3,441.24,538.96,504.36,504.56,485.6,483.3,459.73,459,443.17,438.8,438.8,428.83,428.83,531.6,438.34,442.84,602.98,595.04,592.09,587.51,582.83,575.51,571.83,562.73,561.12,549.78,545.05,539.61,535.78,533.8,527.98,522.63,518.22,483.47,478.49,474.92,469.81,464.7,459.26,453.89,484.76,538.9,439.93,470.01,469.21,513.03,438.23,570.52,458.52,473.80,525.81
30Mar1999,430.18,521.32,573.75,435.4,595.01,545.86,480.46,434.79,460.22,441.05,538.53,504.51,504.6,485.26,483.55,459.42,458.9,442.94,440.05,436.2,428.35,428.35,531.53,436.14,442.65,603.13,595.13,592.14,587.53,582.85,575.52,571.8,562.71,561.1,549.77,544.99,539.59,535.75,533.77,527.89,522.61,518.16,483.44,478.6,474.88,470.03,464.72,459.27,453.82,484.73,538.72,440.42,470.09,469.0500001,512.99,438.20,570.39,458.43,473.74,525.74
31Mar1999,429.33,521.37,573.68,433.84,595.09,545.84,480.06,433.23,460.31,441.28,538.82,504.53,504.76,484.68,483.33,459.31,458.85,442.92,440.3,434.5,427.3,427.3,531.46,434.6,442.64,603.14,595.23,592.18,587.59,582.73,575.51,571.73,562.65,561,549.74,544.97,539.58,535.72,533.75,527.85,522.64,518.26,483.04,478.1,474.65,469.83,464.67,459.42,453.83,484.3,538.88,440.74,469.86,468.8800001,512.96,438.06,570.29,458.33,473.63,525.68
01Apr1999,430.14,521.28,573.51,433.26,594.94,545.66,480.83,432.65,460.1,441.5,538.82,504.59,504.76,484.71,483.52,459.27,458.96,442.71,440.5,434.1,429.2,425.62,531.49,434.02,442.43,603.17,595.1,592.26,587.48,582.92,575.25,571.76,562.6,561.18,549.53,544.87,539.54,535.71,533.73,528.01,522.55,518.19,483.56,479.34,474.69,470.24,464.29,459.4,453.25,484.38,538.83,440.99,470.24,468.73,512.95,437.94,570.29,458.15,473.59,525.67
02Apr1999,430.23,521.06,573.75,434.09,594.93,545.59,480.94,433.48,460.52,441.45,538.83,504.41,504.77,484.55,483.5,459.26,458.96,442.46,440.4,435.3,429.26,425.44,531.22,435.02,442.37,603.18,595.06,592.25,587.47,583.07,575.43,572.1,562.6,561.14,549.45,544.85,539.24,535.65,533.34,527.95,522.3,518.12,483.56,479.54,474.78,470.38,464.67,459.79,453.56,484.26,538.54,440.96,470.48,468.5700001,512.94,437.91,570.26,458.08,473.60,525.68
03Apr1999,430.32,521,573.77,434.61,594.98,545.7,480.4,434,460.43,441.26,538.72,504.6,504.71,485.13,483.48,459.31,458.93,442.55,440.3,435.8,429.34,425.57,531.19,435.61,442.37,603.15,595.02,592.24,587.46,583.18,575.44,572.13,562.61,561.14,549.5,545.01,539.28,535.72,533.37,527.92,522.22,518.13,483.05,478.91,474.52,470.01,464.51,459.67,453.66,484.59,538.54,440.85,470.04,468.6399998,512.92,437.99,570.22,458.13,473.68,525.65
04Apr1999,430.46,521.09,573.93,434.14,595.09,546.02,480.18,433.53,460.16,441.38,538.71,504.54,504.74,484.68,483.41,459.31,458.96,442.36,440.3,435.3,429.53,425.84,531.56,435.04,442.26,603.4,595.28,592.37,587.81,583.37,575.77,572.28,562.58,561.04,549.66,545.13,539.75,535.98,533.76,528.25,522.34,518.26,482.95,478.61,474.37,469.79,464.25,459.43,453.41,484.31,538.71,440.88,469.82,468.65,512.90,438.25,570.19,458.30,473.84,525.64
05Apr1999,430.46,521.25,574.32,434.4,595.55,546.1,481.16,433.79,460.17,441.26,538.85,504.57,504.79,484.77,483.4,459.37,458.97,442.37,440.5,435.5,429.53,425.76,531.54,435.18,442.24,602.9,595.82,592.17,588.71,583.29,576.4,572.26,562.9,561.01,550.37,545.37,540.28,535.87,534.26,528.15,522.57,518.19,483.88,479.75,474.81,,,459.46,453.17,484.34,539.36,440.98,470.45,468.7600002,512.90,439.13,570.13,458.66,474.03,525.58
